input,gold,category
हे 35 मिमी निगेटिव्ह (3136 मिमी2 विरुद्ध 864) पेक्षा 4 पटीने रेझोल्युशन देते.,This gives resolution almost four times that of a 35 mm negative (3136 mm2 versus 864).,encrypted
The trust level 😳😶👀,The trust level (flushed faceface without moutheyes),encrypted
इक्वाडोरक लेल आवश्यक अछि कि क्यूबाक नागरिक सभक अंतरराष्ट्रीय हवाई अड्डा सभक वा सीमा प्रवेश बिंदु सभक माध्यम सँ इक्वाडोर मे प्रवेश करय सँ पहिने एकटा निमंत्रण पत्र प्राप्त हुए।,Ecuador requires that Cuban citizens receive an invitation letter prior to entering Ecuador through international airports or frontier admission points.,encrypted
housing units at an average density sltam+IbUwHP+0BKGwuNVTSkAG2+1CtDDkTXdzsc/O8= 189 per square,housing units at an average density of 189 per square,encrypted
Follow everyone who retweets and likes this 🦕:,Follow everyone who retweets and likes this (sauropod):,encrypted
☑ ARMYs votar en ⬇ ⬇ ⬇ ⬇, (check box with check) ARMYs votar en (down arrow) (down arrow) (down arrow) (down arrow),encrypted
Viking ni gaw Black Sea hte Caspian sea de du hkra sa na matu Rusia hka lam hpe jai lai wa ai re. Ndai lam a dawchyen nkau myi gaw naw mai jai lang ai re. Lu na matu grai yak ai baw laksan ahkang jaw lakmat a matu byin mai ai jep jen ai lam ni gaw galaw ra na re.,"Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get.",encrypted
Henry by calling him the son hpEjIUtULhqvZrxNtk60w8NneptdaDdylpUAFhyMuz8= a cook When,Henry by calling him the son of a cook When,encrypted
"अधिकांश पथक संग पत्थरक कदम राखल गेल अछि, आ दुर्गम खंड सभ में स्टील केबल्स एकटा सहायक रेलिंग प्रदान करैत अछि।","Stone steps are laid along most of the path, and in the steeper sections steel cables provide a supporting handrail.",encrypted
Okay but 2Seok is the most funniest duo 😀,Okay but 2Seok is the most funniest duo (grinning face),encrypted
Along with the Edmonton Oilers the OhdmoW82RC9KERLDyiCJZY9yFn8TzrwZXQjHdHtFfok= are tied for,Along with the Edmonton Oilers the Penguins are tied for,encrypted
-First jump!! 😍🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆,-First jump!! (smiling face with heart-eyesduckduckduckduckduckduckduckduckduckduckduckduckduck),encrypted
Chiefs would get onto the board 0bM41w/Cb7CO1yTKm9LfKUWbh5BqsWhL4knWrjqUZqY= the third quarter,Chiefs would get onto the board in the third quarter,encrypted
"""त्यांना त्यांच्या कार्याबद्दल """"हीरो ऑफ द सोव्हिएत युनियन"""" हा सोव्हिएत युनियनचा सर्वोच्च सन्मान मिळाला.""","He received the ""Hero of the Soviet Union"", the Soviet Union's highest honor, for his work.",encrypted
ほとんどの代理店は、大半の定期予約を喜んで引き受けてくれますが、多くの代理店は、特定の種類の旅行、予算の範囲や目的地に特化しています。,"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.",encrypted
छूतहा बीमारी कोनो संक्रमित व्यक्ति केर संसर्ग मे अएला सँ प्रसारित होइत अछि।,A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.,encrypted
policy evolved to make peace with 78/2/QwJCgv3W0e6hCFDNkw8HAnUd3/vPyB1Y/Vc5K0= Chichimecas had four,policy evolved to make peace with the Chichimecas had four,encrypted
Igikoko tricératops gishobora kuba carakoresha urunwa rwaco rukomeye mu gukura amababi ku giti imbere yo kukirya.,A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,encrypted
Irish How many oAEW8nCqenQbAaQAtcOfYKxufKlUPnFhFgQrz91K8rk= percent,Irish How many in percent,encrypted
"सूफीवाद कें धार्मिक विश्वास एवं पूजाक अन्य रूप सभ सँ अलग कएल जा सकैत अछि, जे चेतनाक एकटा अदितीय स्थितिक विशेष रूप सँ एकटा शांतिपूर्ण, व्यावहारिक, आनंदित या अतए धरि ​​कि परमानंद चरित्रक प्रत्यक्ष व्यक्तिगत अनुभव पर बल दैत अछि।","Mysticism can be distinguished from other forms of religious belief and worship by its emphasis on the direct personal experience of a unique state of consciousness, particularly those of a peaceful, insightful, blissful, or even ecstatic character.",encrypted
"I hear they’re going to have a debt Jubilee, so I guess there’s going to be a barbecue. 😉","I hear they’re going to have a debt Jubilee, so I guess there’s going to be a barbecue. (winking face)",encrypted
waters healing powers oYvZYsT/IOBdgdKZFT2PgtOArdIv3ihFS9gy2cvSp4Y= of,waters healing powers word of,encrypted
"Ubutaliyano bwari bugamije ahanini ibihugu vyo muri Afrika. Kugira bubifate, bokeneye kuba bafise ahantu inteko zitera zivuye, kugira zijabuke Ikiyaga Mediterane maze zitere Afrika.","Italy's main goals were African countries. To capture those countries, they would need to have a troop launching pad, so as troops could sail across the Mediterranean Sea and invade Africa.",encrypted
"Amaja mu kinjana ca 15, akarere ko mu buraruko bwa Esitoniya kisunga cane imico y'Abadagi.","Around the 15th century, northern Estonia was under great cultural influence of Germany.",encrypted
Webcams en directo GRATIS 🔞 👉 👉 👍,Webcams en directo GRATIS (no one under eighteen) (backhand index pointing right) (backhand index pointing right) (thumbs up),encrypted
I’m back at it 👅,I’m back at it (tongue),encrypted
"दोसर तरफ, ई ठीक एहि लेल अछि कियाकि पानिक मात्रा ऐते अधिक अछि कि वास्तविक जलप्रपात कें देखनाय अहाँक लेल पूर्ण तरह सँ अस्पष्ट भए जैत— चारू ओर पानि सब सँ!","On the other hand, it is precisely because the volume of water is so high that your viewing of the actual Falls will be obscured—by all the water!",encrypted
which set up an Arizona touchdown aByW6QfSlCfd6wdVGIUjjQ5vZCm4M+NdSXtT0DBUdXk= a brief 1010,which set up an Arizona touchdown and a brief 1010,encrypted
power how many o8Fx6FO51bMCap9z9SYpsjorCCrlKHYb0gvlS6nnjJ0= before,power how many years before,encrypted
than houses How o3i58wrk9UN+I0lK9iMTVfXCZ1qp3LUUp/ucsQ9d2T4= more,than houses How many more,encrypted
"These Black Women listening to Taylor Swift’s cover of “September” by Earth, Wind, and Fire is SENDING ME 😭😂😭😂😭😂😭 http…","These Black Women listening to Taylor Swift’s cover of “September” by Earth, Wind, and Fire is SENDING ME (loudly crying faceface with tears of joyloudly crying faceface with tears of joyloudly crying faceface with tears of joyloudly crying face) http…",encrypted
the second quarter and led 1710 LER64ld9VC58gGQMYNjbtFwTQishQ7kQ7EKNT3Oshq4= halftime Tampa Bay,the second quarter and led 1710 at halftime Tampa Bay,encrypted
the Navarrese suffered a crushing defeat 4sD6k/sqjxO0Hk3NNKsFqObOD2fb6Ov/u+hT549LNmo= the Battle of,the Navarrese suffered a crushing defeat at the Battle of,encrypted
first half How WQZAseONhAm9YZfPRsSrcVO+1xl1pf8zyyAOfEg35UI= yards,first half How many yards,encrypted
Laklai nna tsam ai dusat ni hpe mu tam na matu yak la nga ai re nna nampan sun ni gaw kalang marang gaw hpaga yumga a matu yaw shada nna sumla gayet ai lam a matu rit kawp tara ni hpe chyahkrat da chye ai.,"Many exotic animals are hard to find, and parks sometimes have rules about taking photographs for commercial purposes.",encrypted
You cheated though sooooooo 🤷🏾‍♂️,You cheated though sooooooo (person shrugging) (medium-dark skin tone)‍ (male sign),encrypted
Nlaw htum gaw hkyepdin hte htap htuk ai hkyepdin pa hpun ra na re. Ginhtawng ta hkyepdin ni gaw hkage hte hkyen ni kaw manen ai kashung ta hkyepdin ni pyi gaw naw ningra ai.,"At a minimum, you need footwear with suitable soles. Summer shoes are usually very slippery on ice and snow, even some winter boots are deficient.",encrypted
people make up 1Tl7p6jUijJoS5Uel43ENQrHbrWcp02kep5ZuIjdEIM= the,people make up of the,encrypted
これは非常に一般的な行為ですが、ディズニーでは禁止されており、チケットの譲渡はできません。,"While this is a very common activity, it is prohibited by Disney: the tickets are non-transferable.",encrypted
Happy Birthday bro Keep it wacky and wild. Best wishes! 😁,Happy Birthday bro Keep it wacky and wild. Best wishes! (beaming face with smiling eyes),encrypted
"Bu hkawm ai ni gaw ja gumhpraw ma ai, hkum hkrang hkam kaja ra ai, ginhtawng ta Nov-Feb laman sha mai hkawm ai, ngut na zundawn, zunlawng, Ross panglai hkan de sa chyai na matu shadawn masat lam nga ai.","Tourist visits are costly, demand physical fitness, can only take place in summer Nov-Feb, and are largely limited to the Peninsula, Islands and Ross Sea.",encrypted
SPLENDID!!!!!!!!!!!!!!!!!!!!!!!!!! 🙌👏✌️,SPLENDID!!!!!!!!!!!!!!!!!!!!!!!!!! (raising handsclapping handsvictory hand),encrypted
the incident 🌘🔪,the incident (waning crescent moonkitchen knife),encrypted
"एहि तरह, स्पेन मे कोनो ब्रिटिश यात्री घुरैत कालक भंगिमा प्रदर्शित करबाक लेल अपना तरफ हथेली कए (जखन कि दोसर तरफ होएबाक चाही) नमस्कार करबाक गलती कए सकैत छथि।","Similarly, a British traveller in Spain may mistake a wave goodbye involving the palm facing the waver (rather than the person being waved at) as a gesture to come back.",encrypted
